Date,Open,High,Low,Close,Adj Close,Volume,,Returns,Sigma day,,,
2023-01-10,"121,07","122,760002","114,919998","118,849998","118,849998",167642500,,"-0,007681381172615",,,,
2023-01-11,"122,089996","125,949997","120,510002","123,220001","123,220001",183810800,,"0,036769062461406",,,,
2023-01-12,"122,559998","124,129997",117,"123,559998","123,559998",169400900,,"0,002759267953585",,,,
2023-01-13,"116,550003","122,629997","115,599998","122,400002","122,400002",180714100,,"-0,009388119284366",,,,
2023-01-17,"125,699997","131,699997","125,019997","131,490005","131,490005",186477000,,"0,074264729178681",,,,
2023-01-18,"136,559998","136,679993","127,010002","128,779999","128,779999",195680300,,"-0,020609977161382",,,,
2023-01-19,"127,260002","129,990005","124,309998","127,169998","127,169998",170291900,,"-0,012501949157493",,,,
2023-01-20,"128,679993","133,509995","127,349998","133,419998","133,419998",138858100,,"0,04914681212781",,,,
2023-01-23,"135,869995","145,380005","134,270004","143,75","143,75",203119200,,"0,077424690112797",,,,
2023-01-24,143,"146,5","141,100006","143,889999","143,889999",158699100,,"0,000973906086956",,,,
2023-01-25,"141,910004","146,410004","138,070007","144,429993","144,429993",192734300,,"0,003752825100791",,,,
2023-01-26,"159,970001","161,419998","154,759995","160,270004","160,270004",234815100,,"0,109672587189006",,,,
2023-01-27,"162,429993","180,679993","161,169998","177,899994","177,899994",306590600,,"0,110001806701147",,,,
2023-01-30,"178,050003","179,770004","166,5","166,660004","166,660004",230878800,,"-0,063181508595217",,,,
2023-01-31,"164,570007","174,300003","162,779999","173,220001","173,220001",196813500,,"0,039361555517544",,,,
2023-02-01,"173,889999","183,809998","169,929993","181,410004","181,410004",213806300,,"0,047280931490123",,,,
2023-02-02,"187,330002","196,75","182,610001","188,270004","188,270004",217448300,,"0,037814893604214",,,,
2023-02-03,"183,949997",199,"183,690002","189,979996","189,979996",232662000,,"0,009082657691982",,,,
2023-02-06,"193,009995","198,169998","189,919998","194,759995","194,759995",186188100,,"0,025160538481115",,,,
2023-02-07,"196,429993","197,5","189,550003","196,809998","196,809998",186010300,,"0,010525790987004",,,,
2023-02-08,"196,100006",203,"194,309998","201,289993","201,289993",180673600,,"0,022763045808273",,,,
2023-02-09,"207,779999",214,"204,770004","207,320007","207,320007",215431400,,"0,029956849370053",,,,
2023-02-10,"202,229996","206,199997","192,889999","196,889999","196,889999",204754100,,"-0,050308738413269",,,,
2023-02-13,"194,419998","196,300003","187,610001","194,639999","194,639999",172475500,,"-0,011427700804651",,,,
2023-02-14,"191,940002","209,820007","189,440002","209,25","209,25",216455700,,"0,075061657804468",,,,
2023-02-15,"211,759995","214,660004","206,110001","214,240005","214,240005",181006400,,"0,023847096774194",,,,
2023-02-16,"210,779999","217,649994","201,839996","202,039993","202,039993",229586500,,"-0,0569455363857",,,,
2023-02-17,"199,990005","208,440002","197,5","208,309998","208,309998",213738500,,"0,031033484543825",,,,
2023-02-21,"204,990005","209,710007","197,220001","197,369995","197,369995",180018600,,"-0,052517896908626",,,,
2023-02-22,"197,929993","201,990005","191,779999","200,860001","200,860001",191828500,,"0,017682556054177",,,,
2023-02-23,"203,910004","205,139999","196,330002","202,070007","202,070007",146360000,,"0,006024126227103",,,,
2023-02-24,"196,330002","197,669998","192,800003","196,880005","196,880005",142228100,,"-0,025684177860201",,,,
2023-02-27,"202,029999","209,419998","201,259995","207,630005","207,630005",161028300,,"0,054601786504424",,,,
2023-02-28,"210,589996","211,229996","203,75","205,710007","205,710007",153144900,,"-0,009247208754823",,,,
2023-03-01,"206,210007","207,199997","198,520004","202,770004","202,770004",156852800,,"-0,014291978513228",,,,
2023-03-02,"186,740005","193,75","186,009995","190,899994","190,899994",181500700,,"-0,05853927980393",,,,
2023-03-03,"194,800003","200,479996","192,880005","197,789993","197,789993",153800400,,"0,036092190762458",,,,
2023-03-06,"198,539993","198,600006","192,300003","193,809998","193,809998",128100100,,"-0,020122327422298",,,,
2023-03-07,"191,380005","194,199997","186,100006","187,710007","187,710007",148125800,,"-0,031474078029762",,,,
2023-03-08,"185,039993","186,5",180,182,182,151897800,,"-0,030419299915108",,,,
2023-03-09,"180,25","185,179993","172,509995","172,919998","172,919998",170023800,,"-0,049890120879121",,,,
2023-03-10,"175,130005","178,289993","168,440002","173,440002","173,440002",191007900,,"0,003007194112968",,,,
2023-03-13,"167,460007","177,350006","163,910004","174,479996","174,479996",167790300,,"0,005996275299858",,,,
2023-03-14,"177,309998","183,800003","177,139999","183,259995","183,259995",143717900,,"0,050320949113273",,,,
2023-03-15,"180,800003","182,339996","176,029999","180,449997","180,449997",145995600,,"-0,015333395594603",,,,
2023-03-16,"180,369995","185,809998","178,839996","184,130005","184,130005",121136800,,"0,020393505465118",,,,
